conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,keyword
2060285951528890793,Fri May 29 09:03:43 +0000 2026,19,Hungaria: unggul pabrik baterai EV. Austria: unggul di komponen mesin otomotif. Selama ini mereka beli nikel dari negara2 eropa. Tiba2 Presiden datang bawa Danantara karna nyari pasar baru? Cukup tim Danantara saja yg nego bisnis tanpa perlu presiden ikut2an jadi makelar. https://t.co/ENzIsZLwP1,2060285951528890793,https://pbs.twimg.com/media/HJebJ4Wa4AAkMO8.jpg,,in,,2,1,5,https://x.com/undefined/status/2060285951528890793,387021225,,Baterai EV
2060270113493074045,Fri May 29 08:00:48 +0000 2026,15,Tapi yang bikin miris Presiden lagi sibuk kunker luar negeri. Sementara di dalam negeri ekonomi grassroots lagi sesak napas. Saya ngerti pentingnya menarik investasi nikel &amp; baterai EV buat masa depan. Tapi rakyat kecil &amp; UMKM butuh kebijakan fiskal yang cepat saat ini juga.,2060270116718383418,,ELsaid_,in,,0,1,1,https://x.com/undefined/status/2060270116718383418,406837793,,Baterai EV
2060244748506689982,Fri May 29 06:20:00 +0000 2026,0,Cek hitungan fisikanya mengapa slow charging di rumah jauh lebih hemat energi dan bikin baterai EV awet. #Headline https://t.co/w06ILf79XZ,2060244748506689982,,,in,,0,0,0,https://x.com/undefined/status/2060244748506689982,23786106,,Baterai EV
2059172137743901104,Fri May 29 00:15:07 +0000 2026,2,@detiksport Di kelas harga yang setara (Rp 300 - 400 jutaan) terdapat beberapa pilihan mobil listrik (EV) dari pabrikan China yang menawarkan kapasitas baterai lebih besar jarak tempuh lebih jauh dan dimensi yang lebih lapang.,2060152923926233370,,detiksport,in,,0,0,0,https://x.com/undefined/status/2060152923926233370,2027066283397914624,,Baterai EV
2059940162013180098,Thu May 28 10:09:41 +0000 2026,2199,MARI KITA BONGKAR DATA INI SUPAYA PAHAM DAN TIDAK DI SESATKAN OLEH SEGELINTIR ORANG Pertumbuhan ekonomi MALUT 32 09% yang wow jika kita melihat hanya dari angka tapi jika kita melihat dampak dan realistisnya ini sangat mengkhawatirkan wak karna yang di maksimalkan bukan https://t.co/OAaGtd5rYY,2059940162013180098,https://pbs.twimg.com/media/HJZgqDcbwAAosoX.jpg,,in,,23,60,990,https://x.com/undefined/status/2059940162013180098,1745265761416056832,,Baterai EV
2059105391083155594,Tue May 26 02:52:36 +0000 2026,158,Ini dia Ferrari Luce mobil EV pertama Ferrari! Ferrari Luce menjadi mobil produksi listrik perdana Ferrari: ▫️ Didesain oleh ex-desainer Apple Jony Ive melalui firma desain LoveFrom ▫️ Empat motor listrik di tiap roda menghasilkan total output 1.035 bhp ▫️ 0-100 dalam 2 5 https://t.co/fqOPz1QX1H,2059105391083155594,https://pbs.twimg.com/media/HJNo2vyasAA2L2Y.jpg,,in,,13,42,16,https://x.com/undefined/status/2059105391083155594,1268958732794261505,,Baterai EV
2058822910878667260,Mon May 25 11:59:46 +0000 2026,7,@americhanoo_ Itu bensin atau ev ya? Coba ganti pre order Chery qq ev 3 pasti suami senang karena pajak thunan lebih murah n dnger2 garansi baterai seumur hidup cuman kualitas Mobil Chery Sy jg gak Tau bagus apa jelek,2058880701580349797,,americhanoo_,in,,0,1,0,https://x.com/undefined/status/2058880701580349797,1455945718129041408,,Baterai EV
2058127310554075455,Sat May 23 10:06:23 +0000 2026,5,Indonesia punya cadangan nikel terbesar di dunia sekitar 52% dari total global Tapi nilai tambah produk nikel yang masuk ke kantong negara jauh lebih kecil dari yang harusnya Kita ekspor ore murah negara lain yang bikin baterai EV lalu jual balik ke kita mahal,2058127395274776939,,syfaeth,in,,0,1,0,https://x.com/undefined/status/2058127395274776939,1886647765406736384,,Baterai EV
2058073960621932983,Sat May 23 06:37:09 +0000 2026,7,Solusi jangka panjang : Anggaran R&amp;D naik dari 0 26% ke minimal 1% PDB sebelum 2030 Hilirisasi bukan sekadar ekspor setengah jadi tapi bangun ekosistem industri utuh seperti baterai/EV Sinkronisasi kurikulum SMK dengan kebutuhan industri nyata Ini butuh 10-20 tahun dan harus,2058074737641926738,,vespamatic96,in,,0,1,0,https://x.com/undefined/status/2058074737641926738,1851094287188180993,,Baterai EV
2056696907309920305,Tue May 19 16:06:25 +0000 2026,5,@Aditya_UW @LambeResing Banyak yang salah paham. BYD itu rohnya buat baterai sedangkan mobil yang pake baterai bukan cmn EV aja tapi ada HEV dan PHEV yang mana masuknya ke mobil hybrid. F1 sejak 2014 udh masuk era hybrid jadi masih relevan,2056768445639999903,,Aditya_UW,in,,0,0,0,https://x.com/undefined/status/2056768445639999903,1629662874,,Baterai EV
2056755268361637893,Tue May 19 15:14:03 +0000 2026,28,kalo kalian ngira listrik = energi bersih coba pikir ulang lagi. baterai mobil listrik itu nambang nikelnya gimana belum jadi limbahnya ketika rusak. transum EV itu jg aneh ketika KRL cuma ada di jabodetabek joglo dan palembang tp kota lain dipaksa punya Bus EV. lompat bgt,2056755268361637893,,,in,,1,8,19,https://x.com/undefined/status/2056755268361637893,1278269892882337792,,Baterai EV
2056532376218726740,Tue May 19 00:34:43 +0000 2026,8,Nikel tetap sangat dibutuhkan dalam skala volume tinggi di masa depan khususnya untuk kendaraan listrik (EV) premium atau yang membutuhkan jarak tempuh jauh. .Meskipun baterai bebas nikel seperti LFP (Lithium Ferro Phosphate) populer untuk kendaraan standar karena lebih murah,2056533979193634969,,TradingDiary2,in,,0,1,0,https://x.com/undefined/status/2056533979193634969,1260798424393211904,,Baterai EV
2056532376218726740,Tue May 19 00:33:19 +0000 2026,2,@kynmngla Nikel tetap sangat dibutuhkan dalam skala volume tinggi di masa depan khususnya untuk kendaraan listrik (EV) premium atau yang membutuhkan jarak tempuh jauh. .Meskipun baterai bebas nikel seperti LFP (Lithium Ferro Phosphate) populer untuk kendaraan standar karena lebih murah,2056533624317755412,,kynmngla,in,,0,1,0,https://x.com/undefined/status/2056533624317755412,1260798424393211904,,Baterai EV
2056515127030231062,Mon May 18 23:19:49 +0000 2026,5,Pagi-pagi udah 89% Kerisauan pertama saat pergi adalah baterai hp habis. Jadi tahu kan kerisauan tambahan para pengguna EV? https://t.co/LE6ShBYrJ8,2056515127030231062,https://pbs.twimg.com/media/HIo1myIbMAAZi4k.jpg,,in,,0,4,0,https://x.com/undefined/status/2056515127030231062,66011286,,Baterai EV
